id,uri,name,artists,album.name,album.release_date,album.release_date_precision,preview_url,release_year
2fytePz8UsbUr8n33QBEcm,spotify:track:2fytePz8UsbUr8n33QBEcm,I Just Can't Stop Loving You (feat. Siedah Garrett) - 2012 Remaster,"['Michael Jackson', 'Siedah Garrett']",Bad 25th Anniversary,1987-08-31,day,https://p.scdn.co/mp3-preview/d12ed1b78cd68ef9de0db2eb1052ad354f6e92cd?cid=74d3dcba17084a749f20d4d3a2640dec,1987
4cnGvmgw4jRnd0rlVqE41b,spotify:track:4cnGvmgw4jRnd0rlVqE41b,¡Oh! Carol,['Duo Dinamico'],20 Exitos De Oro,1987,year,https://p.scdn.co/mp3-preview/61c4f623957df5fcec915e1ed043ab135ba6ab2e?cid=74d3dcba17084a749f20d4d3a2640dec,1987
4V9BTST4BSkvOL4xIQNHuS,spotify:track:4V9BTST4BSkvOL4xIQNHuS,Heaven Is a Place on Earth,['Belinda Carlisle'],Heaven on Earth (Remastered & Expanded Special Edition),1987-10-05,day,https://p.scdn.co/mp3-preview/cd9b9764a89518bb8ae8fe530a6904a40f613ddb?cid=74d3dcba17084a749f20d4d3a2640dec,1987
7M72s7rNOVx71dNihtqqJe,spotify:track:7M72s7rNOVx71dNihtqqJe,Esos ojitos negros,['Duo Dinamico'],20 Exitos De Oro,1987,year,https://p.scdn.co/mp3-preview/42799f5fff2918f72d147dfb54bb1c1424afe01a?cid=74d3dcba17084a749f20d4d3a2640dec,1987
4s3G4N7ejPSQwByKruYCes,spotify:track:4s3G4N7ejPSQwByKruYCes,Luna de miel,['Paloma San Basilio'],Grande,1987,year,https://p.scdn.co/mp3-preview/b642647833bae662d98f4fda727c004a84cf47e2?cid=74d3dcba17084a749f20d4d3a2640dec,1987
5TdRaNXaSGasywwqTWdtKH,spotify:track:5TdRaNXaSGasywwqTWdtKH,Quince años tiene mi amor,['Duo Dinamico'],20 Exitos De Oro,1987,year,https://p.scdn.co/mp3-preview/d01b5872579f81aa689d4cefdeed842c4df8b749?cid=74d3dcba17084a749f20d4d3a2640dec,1987
3hBR2cVTblqkLe0OGoTkua,spotify:track:3hBR2cVTblqkLe0OGoTkua,Perdóname,['Duo Dinamico'],20 Exitos De Oro,1987,year,https://p.scdn.co/mp3-preview/6b8269df92f24ccf85325a2b9b87d175917a2d65?cid=74d3dcba17084a749f20d4d3a2640dec,1987
0L0T4tMAaGqLgIVj1MOj9t,spotify:track:0L0T4tMAaGqLgIVj1MOj9t,Father Figure - Remastered,['George Michael'],Faith,1987-10-30,day,https://p.scdn.co/mp3-preview/917d135da8180366683c43b118fe6d521fca71e5?cid=74d3dcba17084a749f20d4d3a2640dec,1987
7vcUOhIFkpzVCYvBkPdegl,spotify:track:7vcUOhIFkpzVCYvBkPdegl,Rey del Glam,['Alaska Y Dinarama'],Diez-Remasters,1987-10-16,day,https://p.scdn.co/mp3-preview/305df7962d2846af897044a3ace632670b3bcb8b?cid=74d3dcba17084a749f20d4d3a2640dec,1987
4EGEeuaeyL4JK6N6EOb4vf,spotify:track:4EGEeuaeyL4JK6N6EOb4vf,El calor del amor en un bar,['Gabinete Caligari'],Los singles,1987-02-20,day,https://p.scdn.co/mp3-preview/d021ee3e969cd562edc26fdc98c428ef4c58c966?cid=74d3dcba17084a749f20d4d3a2640dec,1987
7tLtIZclwLWk54PFAyDv5T,spotify:track:7tLtIZclwLWk54PFAyDv5T,Where Do Broken Hearts Go,['Whitney Houston'],Whitney,1987-06-02,day,https://p.scdn.co/mp3-preview/4c7ab01db8de8346baab980025645aac2411c502?cid=74d3dcba17084a749f20d4d3a2640dec,1987
2qjWA8QruRCkoFZUQJR4SQ,spotify:track:2qjWA8QruRCkoFZUQJR4SQ,Love in the First Degree,['Bananarama'],Wow ! (Collector's Edition),1987-01-01,day,https://p.scdn.co/mp3-preview/15e679f1134d00301f9213c8dddfbc09611479ef?cid=74d3dcba17084a749f20d4d3a2640dec,1987
5w5uQs1KfiHPnaF2JxCGAw,spotify:track:5w5uQs1KfiHPnaF2JxCGAw,Son cuatro días - 2008 Remaster,['El Último De La Fila'],Nuevas mezclas (2008 Remaster),1987-07-01,day,https://p.scdn.co/mp3-preview/9d70451562075e8ad0b0a84e0942cdaf322dc798?cid=74d3dcba17084a749f20d4d3a2640dec,1987
62GncHY2Zlet2US2ZCtaBU,spotify:track:62GncHY2Zlet2US2ZCtaBU,Dignity,['Deacon Blue'],Raintown / When The World Knows Your Name,1987,year,https://p.scdn.co/mp3-preview/45a7ef412e798f41bb596849887216040c473027?cid=74d3dcba17084a749f20d4d3a2640dec,1987
