id,uri,name,artists,album.name,album.release_date,album.release_date_precision,preview_url
7aKBB6PoDW6DfrkNiqwQtR,spotify:track:7aKBB6PoDW6DfrkNiqwQtR,Rock a jungel,['Horkýže Slíže'],Ritero Xaperle Bax,1900,year,https://p.scdn.co/mp3-preview/369b0f1163878b0e72117a27b4c2ed7ebec15938?cid=74d3dcba17084a749f20d4d3a2640dec
6NyMhTmsP3BZFG45cIaHqi,spotify:track:6NyMhTmsP3BZFG45cIaHqi,Disciplína,['Horkýže Slíže'],Ritero Xaperle Bax,1900,year,https://p.scdn.co/mp3-preview/f8646139f2f9f09c4151ba12d9a6f44e6b6caa2a?cid=74d3dcba17084a749f20d4d3a2640dec
5jsAw8KHivyMUR6NkrJdLC,spotify:track:5jsAw8KHivyMUR6NkrJdLC,Svobodnoje vremja,['Horkýže Slíže'],Ritero Xaperle Bax,1900,year,https://p.scdn.co/mp3-preview/545a35c5cd57327f6d1e280ca076c044c5b1d20b?cid=74d3dcba17084a749f20d4d3a2640dec
2UGaXBbI0gyExcrVQ9RlKl,spotify:track:2UGaXBbI0gyExcrVQ9RlKl,Kolem Tebe (Live),['DIVOKEJ BILL'],Lucerna Live,1900,year,https://p.scdn.co/mp3-preview/db863795c8e1c0f843e34ac64b14ae0439ae4cb8?cid=74d3dcba17084a749f20d4d3a2640dec
66pQlZY1uRxhfKP2uqgmeA,spotify:track:66pQlZY1uRxhfKP2uqgmeA,"Miejsca, Przedmioty, Kszta£Ty, Drzwi",['Robert Kasprzycki'],Niebo Do Wynajecia,1900,year,https://p.scdn.co/mp3-preview/32bffe3e7d4157c10585ab32e01d65ad955d7dc6?cid=74d3dcba17084a749f20d4d3a2640dec
1tRUTDC96dxQv8truEHmmM,spotify:track:1tRUTDC96dxQv8truEHmmM,A ja sprostá,['Horkýže Slíže'],Ritero Xaperle Bax,1900,year,https://p.scdn.co/mp3-preview/a4726ca2eb6528b3e91798f9f2146881594acf6d?cid=74d3dcba17084a749f20d4d3a2640dec
0QSHzIpT0tYE4jupA12HtK,spotify:track:0QSHzIpT0tYE4jupA12HtK,Gajdy - dudy,['Horkýže Slíže'],Ritero Xaperle Bax,1900,year,https://p.scdn.co/mp3-preview/076d5f9d5f3d4c138020a5aba1df1f1d6231608b?cid=74d3dcba17084a749f20d4d3a2640dec
5LpPk64GiwT6iaAD14eQRb,spotify:track:5LpPk64GiwT6iaAD14eQRb,"Nebolo to zlé (A Pretty Cocoa Denny, Don'T Ask For...)",['Horkýže Slíže'],Ritero Xaperle Bax,1900,year,https://p.scdn.co/mp3-preview/f16d399a594559b0b37a5c0a04fc5e742c879a3b?cid=74d3dcba17084a749f20d4d3a2640dec
1puCrfOZ6jlxUmnyaFaBy2,spotify:track:1puCrfOZ6jlxUmnyaFaBy2,Tibet,['Horkýže Slíže'],Ritero Xaperle Bax,1900,year,https://p.scdn.co/mp3-preview/1e570f6f4499a254393786f09798e5cf14608e4f?cid=74d3dcba17084a749f20d4d3a2640dec
38Jf1iOt55SuAkIvVGjCvZ,spotify:track:38Jf1iOt55SuAkIvVGjCvZ,To prejde,['Horkýže Slíže'],Ritero Xaperle Bax,1900,year,https://p.scdn.co/mp3-preview/57f993fae2fe44a96387ab082f9ed1cb2d5f7770?cid=74d3dcba17084a749f20d4d3a2640dec
42UISa1VPzdc48kYQ7jdF1,spotify:track:42UISa1VPzdc48kYQ7jdF1,NEPOSLUSNE TENISKY,['BILA LUCIE'],Laska Je Laska,1900,year,https://p.scdn.co/mp3-preview/eca87dfc7e93d5e8ff46b125d5ed939f3a73759a?cid=74d3dcba17084a749f20d4d3a2640dec
41kBepWiphQbulkMVjnJQV,spotify:track:41kBepWiphQbulkMVjnJQV,Cmelak,['DIVOKEJ BILL'],Divokej Bill,1900,year,https://p.scdn.co/mp3-preview/b8fca1ae1d179fcde78ec6a68cd2916f33571f1e?cid=74d3dcba17084a749f20d4d3a2640dec
7boGoVeGOfRKMuBofwOXlJ,spotify:track:7boGoVeGOfRKMuBofwOXlJ,Na Krawêdzi Dnia,['Robert Kasprzycki'],Niebo Do Wynajecia,1900,year,https://p.scdn.co/mp3-preview/05b3cd2bdf137de18fc02397bdd73289fc7388b4?cid=74d3dcba17084a749f20d4d3a2640dec
3j2o2kxW8vjWBn7svlwcbH,spotify:track:3j2o2kxW8vjWBn7svlwcbH,Ja Nie Œpiê Ja Œniê,['Robert Kasprzycki'],Niebo Do Wynajecia,1900,year,https://p.scdn.co/mp3-preview/db5e35a2038f0d45a81a190506343ef9696f3fcb?cid=74d3dcba17084a749f20d4d3a2640dec
4x003pbGJNlfUM040C83Xb,spotify:track:4x003pbGJNlfUM040C83Xb,Sam Wiesz,['Robert Kasprzycki'],Niebo Do Wynajecia,1900,year,https://p.scdn.co/mp3-preview/cb66bb2d2a2f3a3411b524809161db595804cee6?cid=74d3dcba17084a749f20d4d3a2640dec
6SZJ5ICaO96gqrFpfnQhgZ,spotify:track:6SZJ5ICaO96gqrFpfnQhgZ,Ave Maria,['Lucie Bílá'],Laska Je Laska,1900,year,https://p.scdn.co/mp3-preview/70959b604a67ed57828bbc506b8ad6ceec5d8f02?cid=74d3dcba17084a749f20d4d3a2640dec
0O5OL9N4bTxLxdfvSMX8eo,spotify:track:0O5OL9N4bTxLxdfvSMX8eo,Novamba,['Lucie Bílá'],Laska Je Laska,1900,year,https://p.scdn.co/mp3-preview/851ad696cde9800701308dcc0aa32d86d65e9d26?cid=74d3dcba17084a749f20d4d3a2640dec
5J7zaIZZhz2NzBTRNLO2QA,spotify:track:5J7zaIZZhz2NzBTRNLO2QA,Laska Je Laska,['Lucie Bílá'],Laska Je Laska,1900,year,https://p.scdn.co/mp3-preview/06dea83538005929b7bfde7a932229ba3eff50da?cid=74d3dcba17084a749f20d4d3a2640dec
0UbHdVSovy5yfz5zLkqONs,spotify:track:0UbHdVSovy5yfz5zLkqONs,Pisen samotarky (On My Own),['Lucie Bílá'],Laska Je Laska,1900,year,https://p.scdn.co/mp3-preview/a5b879b92a9a7f9c6f0fd6eeb62ec8aa388951e5?cid=74d3dcba17084a749f20d4d3a2640dec
4yetsNRskCmNVe3F7zIYW8,spotify:track:4yetsNRskCmNVe3F7zIYW8,Sur mon dos,['Raphaël'],Somnambules,1900,year,https://p.scdn.co/mp3-preview/bcfa3103e073d894fc442c270c82633ac5c1428a?cid=74d3dcba17084a749f20d4d3a2640dec
1R8LqqudBNInIXkFcsyjvl,spotify:track:1R8LqqudBNInIXkFcsyjvl,CARODEJKA (DESCONOCIDA),['BILA LUCIE'],Laska Je Laska,1900,year,https://p.scdn.co/mp3-preview/38e3bb8a7492718966b6afc47bb9a0ec000213ff?cid=74d3dcba17084a749f20d4d3a2640dec
6E8MRrXxUTpfSWsgtWsfO8,spotify:track:6E8MRrXxUTpfSWsgtWsfO8,Hana Zana (Jinak to nebude),['Lucie Bílá'],Laska Je Laska,1900,year,https://p.scdn.co/mp3-preview/deeca0328ad6bc2f21c158cf7732ac6da83cabe4?cid=74d3dcba17084a749f20d4d3a2640dec
